"type","flavor","state","index type","index","year"
"non-metro","purchase-only","Alaska","index_nsa",0,1983
"non-metro","purchase-only","Alaska","index_sa",0,1983
"non-metro","purchase-only","Alaska","index_nsa",0,1984
"non-metro","purchase-only","Alaska","index_sa",0,1984
"non-metro","purchase-only","Alaska","index_nsa",0,1985
"non-metro","purchase-only","Alaska","index_sa",0,1985
"non-metro","purchase-only","Alaska","index_nsa",0,1986
"non-metro","purchase-only","Alaska","index_sa",0,1986
"non-metro","purchase-only","Alaska","index_nsa",0,1987
"non-metro","purchase-only","Alaska","index_sa",0,1987
"non-metro","purchase-only","Alaska","index_nsa",0,1988
"non-metro","purchase-only","Alaska","index_sa",0,1988
"non-metro","purchase-only","Alaska","index_nsa",0,1989
"non-metro","purchase-only","Alaska","index_sa",0,1989
"non-metro","purchase-only","Alaska","index_nsa",0,1990
"non-metro","purchase-only","Alaska","index_sa",0,1990
"non-metro","purchase-only","Alaska","index_nsa",0,1991
"non-metro","purchase-only","Alaska","index_sa",0,1991
"non-metro","purchase-only","Alaska","index_nsa",0,1992
"non-metro","purchase-only","Alaska","index_sa",0,1992
"non-metro","purchase-only","Alaska","index_nsa",0,1993
"non-metro","purchase-only","Alaska","index_sa",0,1993
"non-metro","purchase-only","Alaska","index_nsa",0,1994
"non-metro","purchase-only","Alaska","index_sa",0,1994
"non-metro","purchase-only","Alaska","index_nsa",0,1995
"non-metro","purchase-only","Alaska","index_sa",0,1995
"non-metro","purchase-only","Alaska","index_nsa",0,1996
"non-metro","purchase-only","Alaska","index_sa",0,1996
"non-metro","purchase-only","Alaska","index_nsa",0,1997
"non-metro","purchase-only","Alaska","index_sa",0,1997
"non-metro","purchase-only","Alaska","index_nsa",0,1998
"non-metro","purchase-only","Alaska","index_sa",0,1998
"non-metro","purchase-only","Alaska","index_nsa",0,1999
"non-metro","purchase-only","Alaska","index_sa",0,1999
"non-metro","purchase-only","Alaska","index_nsa",0,2000
"non-metro","purchase-only","Alaska","index_sa",0,2000
"non-metro","purchase-only","Alaska","index_nsa",0,2001
"non-metro","purchase-only","Alaska","index_sa",0,2001
"non-metro","purchase-only","Alaska","index_nsa",0,2002
"non-metro","purchase-only","Alaska","index_sa",0,2002
"non-metro","purchase-only","Alaska","index_nsa",0,2003
"non-metro","purchase-only","Alaska","index_sa",0,2003
"non-metro","purchase-only","Alaska","index_nsa",0,2004
"non-metro","purchase-only","Alaska","index_sa",0,2004
"non-metro","purchase-only","Alaska","index_nsa",0,2005
"non-metro","purchase-only","Alaska","index_sa",0,2005
"non-metro","purchase-only","Alaska","index_nsa",0,2006
"non-metro","purchase-only","Alaska","index_sa",0,2006
"non-metro","purchase-only","Alaska","index_nsa",0,2007
"non-metro","purchase-only","Alaska","index_sa",0,2007
"non-metro","purchase-only","Alaska","index_nsa",0,2008
"non-metro","purchase-only","Alaska","index_sa",0,2008
"non-metro","purchase-only","Alaska","index_nsa",0,2009
"non-metro","purchase-only","Alaska","index_sa",0,2009
"non-metro","purchase-only","Alaska","index_nsa",0,2010
"non-metro","purchase-only","Alaska","index_sa",0,2010
"non-metro","purchase-only","Alaska","index_nsa",0,2011
"non-metro","purchase-only","Alaska","index_sa",0,2011
"non-metro","purchase-only","Alaska","index_nsa",0,2012
"non-metro","purchase-only","Alaska","index_sa",0,2012
"non-metro","purchase-only","Alaska","index_nsa",0,2013
"non-metro","purchase-only","Alaska","index_sa",0,2013
"non-metro","purchase-only","Alaska","index_nsa",0,2014
"non-metro","purchase-only","Alaska","index_sa",0,2014
"non-metro","purchase-only","Alaska","index_nsa",0,2015
"non-metro","purchase-only","Alaska","index_sa",0,2015
"non-metro","purchase-only","Alaska","index_nsa",0,2016
"non-metro","purchase-only","Alaska","index_sa",0,2016
"non-metro","purchase-only","Alaska","index_nsa",0,2017
"non-metro","purchase-only","Alaska","index_sa",0,2017
"non-metro","purchase-only","Alaska","index_nsa",0,2018
"non-metro","purchase-only","Alaska","index_sa",0,2018
"non-metro","purchase-only","Alaska","index_nsa",0,2019
"non-metro","purchase-only","Alaska","index_sa",0,2019
"non-metro","purchase-only","Alaska","index_nsa",0,2020
"non-metro","purchase-only","Alaska","index_sa",0,2020
"non-metro","purchase-only","Alaska","index_nsa",0,2021
"non-metro","purchase-only","Alaska","index_sa",0,2021
"non-metro","purchase-only","Alaska","index_nsa",0,2022
"non-metro","purchase-only","Alaska","index_sa",0,2022
"traditional","all-transactions","Alabama","index_nsa",293.52,1975
"traditional","all-transactions","Alabama","index_sa",NA,1975
"traditional","all-transactions","Alabama","index_nsa",308.32,1976
"traditional","all-transactions","Alabama","index_sa",NA,1976
"traditional","all-transactions","Alabama","index_nsa",342.38,1977
"traditional","all-transactions","Alabama","index_sa",NA,1977
"traditional","all-transactions","Alabama","index_nsa",370.08,1978
"traditional","all-transactions","Alabama","index_sa",NA,1978
"traditional","all-transactions","Alabama","index_nsa",409.22,1979
"traditional","all-transactions","Alabama","index_sa",NA,1979
"traditional","all-transactions","Alabama","index_nsa",421.81,1980
"traditional","all-transactions","Alabama","index_sa",NA,1980
"traditional","all-transactions","Alabama","index_nsa",433.45,1981
"traditional","all-transactions","Alabama","index_sa",NA,1981
"traditional","all-transactions","Alabama","index_nsa",439.39,1982
"traditional","all-transactions","Alabama","index_sa",NA,1982
"traditional","all-transactions","Alabama","index_nsa",459.61,1983
"traditional","all-transactions","Alabama","index_sa",NA,1983
"traditional","all-transactions","Alabama","index_nsa",489.77,1984
"traditional","all-transactions","Alabama","index_sa",NA,1984
"traditional","all-transactions","Alabama","index_nsa",501.71,1985
"traditional","all-transactions","Alabama","index_sa",NA,1985
"traditional","all-transactions","Alabama","index_nsa",530.72,1986
"traditional","all-transactions","Alabama","index_sa",NA,1986
"traditional","all-transactions","Alabama","index_nsa",555.24,1987
"traditional","all-transactions","Alabama","index_sa",NA,1987
"traditional","all-transactions","Alabama","index_nsa",569.05,1988
"traditional","all-transactions","Alabama","index_sa",NA,1988
"traditional","all-transactions","Alabama","index_nsa",577.01,1989
"traditional","all-transactions","Alabama","index_sa",NA,1989
"traditional","all-transactions","Alabama","index_nsa",586.91,1990
"traditional","all-transactions","Alabama","index_sa",NA,1990
"traditional","all-transactions","Alabama","index_nsa",605.65,1991
"traditional","all-transactions","Alabama","index_sa",NA,1991
"traditional","all-transactions","Alabama","index_nsa",629.72,1992
"traditional","all-transactions","Alabama","index_sa",NA,1992
"traditional","all-transactions","Alabama","index_nsa",656.63,1993
"traditional","all-transactions","Alabama","index_sa",NA,1993
"traditional","all-transactions","Alabama","index_nsa",680.58,1994
"traditional","all-transactions","Alabama","index_sa",NA,1994
"traditional","all-transactions","Alabama","index_nsa",707.99,1995
"traditional","all-transactions","Alabama","index_sa",NA,1995
"traditional","all-transactions","Alabama","index_nsa",736.59,1996
"traditional","all-transactions","Alabama","index_sa",NA,1996
"traditional","all-transactions","Alabama","index_nsa",764.23,1997
"traditional","all-transactions","Alabama","index_sa",NA,1997
"traditional","all-transactions","Alabama","index_nsa",803.13,1998
"traditional","all-transactions","Alabama","index_sa",NA,1998
"traditional","all-transactions","Alabama","index_nsa",823.95,1999
"traditional","all-transactions","Alabama","index_sa",NA,1999
"traditional","all-transactions","Alabama","index_nsa",844.58,2000
"traditional","all-transactions","Alabama","index_sa",NA,2000
"traditional","all-transactions","Alabama","index_nsa",891.17,2001
"traditional","all-transactions","Alabama","index_sa",NA,2001
"traditional","all-transactions","Alabama","index_nsa",917.32,2002
"traditional","all-transactions","Alabama","index_sa",NA,2002
"traditional","all-transactions","Alabama","index_nsa",953.81,2003
"traditional","all-transactions","Alabama","index_sa",NA,2003
"traditional","all-transactions","Alabama","index_nsa",990.13,2004
"traditional","all-transactions","Alabama","index_sa",NA,2004
"traditional","all-transactions","Alabama","index_nsa",1059.84,2005
"traditional","all-transactions","Alabama","index_sa",NA,2005
"traditional","all-transactions","Alabama","index_nsa",1143.85,2006
"traditional","all-transactions","Alabama","index_sa",NA,2006
"traditional","all-transactions","Alabama","index_nsa",1197.91,2007
"traditional","all-transactions","Alabama","index_sa",NA,2007
"traditional","all-transactions","Alabama","index_nsa",1211.39,2008
"traditional","all-transactions","Alabama","index_sa",NA,2008
"traditional","all-transactions","Alabama","index_nsa",1193.91,2009
"traditional","all-transactions","Alabama","index_sa",NA,2009
"traditional","all-transactions","Alabama","index_nsa",1149.02,2010
"traditional","all-transactions","Alabama","index_sa",NA,2010
"traditional","all-transactions","Alabama","index_nsa",1110.48,2011
"traditional","all-transactions","Alabama","index_sa",NA,2011
"traditional","all-transactions","Alabama","index_nsa",1104.45,2012
"traditional","all-transactions","Alabama","index_sa",NA,2012
"traditional","all-transactions","Alabama","index_nsa",1096.49,2013
"traditional","all-transactions","Alabama","index_sa",NA,2013
"traditional","all-transactions","Alabama","index_nsa",1109.3,2014
"traditional","all-transactions","Alabama","index_sa",NA,2014
"traditional","all-transactions","Alabama","index_nsa",1139.91,2015
"traditional","all-transactions","Alabama","index_sa",NA,2015
"traditional","all-transactions","Alabama","index_nsa",1173.09,2016
"traditional","all-transactions","Alabama","index_sa",NA,2016
"traditional","all-transactions","Alabama","index_nsa",1208.76,2017
"traditional","all-transactions","Alabama","index_sa",NA,2017
"traditional","all-transactions","Alabama","index_nsa",1258.42,2018
"traditional","all-transactions","Alabama","index_sa",NA,2018
"traditional","all-transactions","Alabama","index_nsa",1321.09,2019
"traditional","all-transactions","Alabama","index_sa",NA,2019
"traditional","all-transactions","Alabama","index_nsa",1397.32,2020
"traditional","all-transactions","Alabama","index_sa",NA,2020
"traditional","all-transactions","Alabama","index_nsa",1578.8,2021
"traditional","all-transactions","Alabama","index_sa",NA,2021
"traditional","all-transactions","Alabama","index_nsa",896.3,2022
"traditional","all-transactions","Alabama","index_sa",NA,2022
"traditional","expanded-data","Alabama","index_nsa",0,1975
"traditional","expanded-data","Alabama","index_sa",0,1975
"traditional","expanded-data","Alabama","index_nsa",0,1976
"traditional","expanded-data","Alabama","index_sa",0,1976
"traditional","expanded-data","Alabama","index_nsa",0,1977
"traditional","expanded-data","Alabama","index_sa",0,1977
"traditional","expanded-data","Alabama","index_nsa",0,1978
"traditional","expanded-data","Alabama","index_sa",0,1978
"traditional","expanded-data","Alabama","index_nsa",0,1979
"traditional","expanded-data","Alabama","index_sa",0,1979
"traditional","expanded-data","Alabama","index_nsa",0,1980
"traditional","expanded-data","Alabama","index_sa",0,1980
"traditional","expanded-data","Alabama","index_nsa",0,1981
"traditional","expanded-data","Alabama","index_sa",0,1981
"traditional","expanded-data","Alabama","index_nsa",0,1982
"traditional","expanded-data","Alabama","index_sa",0,1982
"traditional","expanded-data","Alabama","index_nsa",0,1983
"traditional","expanded-data","Alabama","index_sa",0,1983
"traditional","expanded-data","Alabama","index_nsa",0,1984
"traditional","expanded-data","Alabama","index_sa",0,1984
"traditional","expanded-data","Alabama","index_nsa",0,1985
"traditional","expanded-data","Alabama","index_sa",0,1985
"traditional","expanded-data","Alabama","index_nsa",0,1986
"traditional","expanded-data","Alabama","index_sa",0,1986
"traditional","expanded-data","Alabama","index_nsa",0,1987
"traditional","expanded-data","Alabama","index_sa",0,1987
"traditional","expanded-data","Alabama","index_nsa",0,1988
"traditional","expanded-data","Alabama","index_sa",0,1988
"traditional","expanded-data","Alabama","index_nsa",0,1989
"traditional","expanded-data","Alabama","index_sa",0,1989
"traditional","expanded-data","Alabama","index_nsa",0,1990
"traditional","expanded-data","Alabama","index_sa",0,1990
"traditional","expanded-data","Alabama","index_nsa",407.18,1991
"traditional","expanded-data","Alabama","index_sa",405.62,1991
"traditional","expanded-data","Alabama","index_nsa",423.67,1992
"traditional","expanded-data","Alabama","index_sa",422.06,1992
"traditional","expanded-data","Alabama","index_nsa",441.44,1993
"traditional","expanded-data","Alabama","index_sa",439.77,1993
"traditional","expanded-data","Alabama","index_nsa",466.24,1994
"traditional","expanded-data","Alabama","index_sa",464.48,1994
"traditional","expanded-data","Alabama","index_nsa",486.61,1995
"traditional","expanded-data","Alabama","index_sa",484.74,1995
"traditional","expanded-data","Alabama","index_nsa",503.95,1996
"traditional","expanded-data","Alabama","index_sa",502.01,1996
"traditional","expanded-data","Alabama","index_nsa",523.59,1997
"traditional","expanded-data","Alabama","index_sa",521.57,1997
"traditional","expanded-data","Alabama","index_nsa",540.96,1998
"traditional","expanded-data","Alabama","index_sa",538.87,1998
"traditional","expanded-data","Alabama","index_nsa",563.29,1999
"traditional","expanded-data","Alabama","index_sa",561.15,1999
"traditional","expanded-data","Alabama","index_nsa",585.73,2000
"traditional","expanded-data","Alabama","index_sa",583.48,2000
"traditional","expanded-data","Alabama","index_nsa",601.14,2001
"traditional","expanded-data","Alabama","index_sa",598.85,2001
"traditional","expanded-data","Alabama","index_nsa",614.61,2002
"traditional","expanded-data","Alabama","index_sa",612.22,2002
"traditional","expanded-data","Alabama","index_nsa",638.21,2003
"traditional","expanded-data","Alabama","index_sa",635.71,2003
"traditional","expanded-data","Alabama","index_nsa",661.96,2004
"traditional","expanded-data","Alabama","index_sa",659.36,2004
"traditional","expanded-data","Alabama","index_nsa",712.41,2005
"traditional","expanded-data","Alabama","index_sa",709.56,2005
"traditional","expanded-data","Alabama","index_nsa",758.62,2006
"traditional","expanded-data","Alabama","index_sa",755.54,2006
"traditional","expanded-data","Alabama","index_nsa",763.64,2007
"traditional","expanded-data","Alabama","index_sa",760.53,2007
"traditional","expanded-data","Alabama","index_nsa",733.28,2008
"traditional","expanded-data","Alabama","index_sa",730.35,2008
"traditional","expanded-data","Alabama","index_nsa",689.09,2009
"traditional","expanded-data","Alabama","index_sa",686.33,2009
"traditional","expanded-data","Alabama","index_nsa",639.68,2010
"traditional","expanded-data","Alabama","index_sa",637.26,2010
"traditional","expanded-data","Alabama","index_nsa",610.64,2011
"traditional","expanded-data","Alabama","index_sa",608.31,2011
